datetime,cpu
27-01-2017 21:15,1.04
27-01-2017 21:16,1.09
27-01-2017 21:17,1.04
27-01-2017 21:18,1
27-01-2017 21:19,0.97
27-01-2017 21:20,0.94
27-01-2017 21:21,0.93
27-01-2017 21:22,0.93
27-01-2017 21:23,0.93
27-01-2017 21:24,0.99
27-01-2017 21:25,0.96
27-01-2017 21:26,0.98
27-01-2017 21:27,0.94
27-01-2017 21:28,0.91
27-01-2017 21:29,0.91
27-01-2017 21:30,0.9
27-01-2017 21:31,0.86
27-01-2017 21:32,0.91
27-01-2017 21:33,0.86
27-01-2017 21:34,0.84
27-01-2017 21:35,0.81
27-01-2017 21:36,0.79
27-01-2017 21:37,0.79
27-01-2017 21:38,0.78
27-01-2017 21:39,0.76
27-01-2017 21:40,0.74
27-01-2017 21:41,0.73
27-01-2017 21:42,0.78
27-01-2017 21:43,0.74
27-01-2017 21:44,0.72
27-01-2017 21:45,0.7
27-01-2017 21:46,0.68
27-01-2017 21:47,0.65
27-01-2017 21:48,0.65
27-01-2017 21:49,0.64
27-01-2017 21:50,0.7
27-01-2017 21:51,0.74
27-01-2017 21:52,0.78
27-01-2017 21:53,0.79
27-01-2017 21:54,0.74
27-01-2017 21:55,0.72
27-01-2017 21:56,0.69
27-01-2017 21:57,0.71
27-01-2017 21:58,0.66
27-01-2017 21:59,0.63
27-01-2017 22:00,0.61
27-01-2017 22:01,0.61
27-01-2017 22:02,0.7
27-01-2017 22:03,0.67
27-01-2017 22:04,0.65
27-01-2017 22:05,0.65
27-01-2017 22:06,0.66
27-01-2017 22:07,0.65
27-01-2017 22:08,0.65
27-01-2017 22:09,0.65
27-01-2017 22:10,0.74
27-01-2017 22:11,0.73
27-01-2017 22:12,0.71
27-01-2017 22:13,0.69
27-01-2017 22:14,0.68
27-01-2017 22:15,0.71
27-01-2017 22:16,0.73
27-01-2017 22:17,0.76
27-01-2017 22:18,0.84
27-01-2017 22:19,0.82
27-01-2017 22:20,0.82
27-01-2017 22:21,0.83
27-01-2017 22:22,0.86
27-01-2017 22:23,0.88
27-01-2017 22:24,0.9
27-01-2017 22:25,0.92
27-01-2017 22:26,1.02
27-01-2017 22:27,1.03
27-01-2017 22:28,1.32
27-01-2017 22:29,1.41
27-01-2017 22:30,1.4
27-01-2017 22:31,1.36
27-01-2017 22:32,1.36
27-01-2017 22:33,1.3
27-01-2017 22:34,1.29
27-01-2017 22:35,1.27
27-01-2017 22:36,1.31
27-01-2017 22:37,1.32
27-01-2017 22:38,1.35
27-01-2017 22:39,1.8
27-01-2017 22:40,2.28
27-01-2017 22:41,2.01
27-01-2017 22:42,1.87
27-01-2017 22:43,1.72
27-01-2017 22:44,2.03
27-01-2017 22:45,1.8
27-01-2017 22:46,2.05
27-01-2017 22:47,2.18
27-01-2017 22:48,1.92
27-01-2017 22:49,1.78
27-01-2017 22:50,1.64
27-01-2017 22:51,1.54
27-01-2017 22:52,1.53
27-01-2017 22:53,1.58
27-01-2017 22:54,1.87
27-01-2017 22:55,1.74
27-01-2017 22:56,1.72
27-01-2017 22:57,1.7
27-01-2017 22:58,1.59
27-01-2017 22:59,1.85
27-01-2017 23:00,1.8
27-01-2017 23:01,1.65
27-01-2017 23:02,1.51
27-01-2017 23:03,1.47
27-01-2017 23:04,1.44
27-01-2017 23:05,1.42
27-01-2017 23:06,1.72
27-01-2017 23:07,1.59
27-01-2017 23:08,1.58
27-01-2017 23:09,1.5
27-01-2017 23:10,1.42
27-01-2017 23:11,1.43
27-01-2017 23:12,1.38
27-01-2017 23:13,1.32
27-01-2017 23:14,1.31
27-01-2017 23:15,1.33
27-01-2017 23:16,1.34
27-01-2017 23:17,1.39
27-01-2017 23:18,1.37
27-01-2017 23:19,1.31
27-01-2017 23:20,1.59
27-01-2017 23:21,1.93
27-01-2017 23:22,1.79
27-01-2017 23:23,1.62
27-01-2017 23:24,1.75
27-01-2017 23:25,1.6
27-01-2017 23:26,1.59
27-01-2017 23:27,1.46
27-01-2017 23:28,1.4
27-01-2017 23:29,1.35
27-01-2017 23:30,1.28
27-01-2017 23:31,1.23
27-01-2017 23:32,1.24
27-01-2017 23:33,1.29
27-01-2017 23:34,1.25
27-01-2017 23:35,1.28
27-01-2017 23:36,1.31
27-01-2017 23:37,1.27
27-01-2017 23:38,1.41
27-01-2017 23:39,1.41
27-01-2017 23:40,1.67
27-01-2017 23:41,1.48
27-01-2017 23:42,1.35
27-01-2017 23:43,1.27
27-01-2017 23:44,1.24
27-01-2017 23:45,1.2
27-01-2017 23:46,1.23
27-01-2017 23:47,1.22
27-01-2017 23:48,1.15
27-01-2017 23:49,1.14
27-01-2017 23:50,1.21
27-01-2017 23:51,1.16
27-01-2017 23:52,1.11
27-01-2017 23:53,1.09
27-01-2017 23:54,1.07
27-01-2017 23:55,1.04
27-01-2017 23:56,1.02
27-01-2017 23:57,1.08
27-01-2017 23:58,1.04
27-01-2017 23:59,0.99
28-01-2017 00:00,0.95
28-01-2017 00:01,0.92
28-01-2017 00:02,0.88
28-01-2017 00:03,0.85
28-01-2017 00:04,0.84
28-01-2017 00:05,0.84
28-01-2017 00:06,0.95
28-01-2017 00:07,0.88
28-01-2017 00:08,0.85
28-01-2017 00:09,0.94
28-01-2017 00:10,0.87
28-01-2017 00:11,0.81
28-01-2017 00:12,0.78
28-01-2017 00:13,0.75
28-01-2017 00:14,0.73
28-01-2017 00:15,0.7
28-01-2017 00:16,0.75
28-01-2017 00:17,0.71
28-01-2017 00:18,0.69
28-01-2017 00:19,0.68
28-01-2017 00:20,0.69
28-01-2017 00:21,0.68
28-01-2017 00:22,0.68
28-01-2017 00:23,0.68
28-01-2017 00:24,0.69
28-01-2017 00:25,0.75
28-01-2017 00:26,0.77
28-01-2017 00:27,0.72
28-01-2017 00:28,0.7
28-01-2017 00:29,0.7
28-01-2017 00:30,0.7
28-01-2017 00:31,0.79
28-01-2017 00:32,0.77
28-01-2017 00:33,0.77
28-01-2017 00:34,0.77
28-01-2017 00:35,0.79
28-01-2017 00:36,0.82
28-01-2017 00:37,0.84
28-01-2017 00:38,0.87
28-01-2017 00:39,0.99
28-01-2017 00:40,1.02
28-01-2017 00:41,1.02
28-01-2017 00:42,1.04
28-01-2017 00:43,1.06
28-01-2017 00:44,1.1
28-01-2017 00:45,1.48
28-01-2017 00:46,1.51
28-01-2017 00:47,1.53
28-01-2017 00:48,1.53
28-01-2017 00:49,1.53
28-01-2017 00:50,1.79
28-01-2017 00:51,1.66
28-01-2017 00:52,1.86
28-01-2017 00:53,2.04
28-01-2017 00:54,1.87
28-01-2017 00:55,1.84
28-01-2017 00:56,2.45
28-01-2017 00:57,2.48
28-01-2017 00:58,2.2
28-01-2017 00:59,1.92
28-01-2017 01:00,2.13
28-01-2017 01:01,1.87
28-01-2017 01:02,2.13
28-01-2017 01:03,2.23
28-01-2017 01:04,2.03
28-01-2017 01:05,2.14
28-01-2017 01:06,1.92
28-01-2017 01:07,2.15
28-01-2017 01:08,1.95
28-01-2017 01:09,1.75
28-01-2017 01:10,1.93
28-01-2017 01:11,2.13
28-01-2017 01:12,2.17
28-01-2017 01:13,2.24
28-01-2017 01:14,2.4
28-01-2017 01:15,2.11
28-01-2017 01:16,2.18
28-01-2017 01:17,1.97
28-01-2017 01:18,2.1
28-01-2017 01:19,2.53
28-01-2017 01:20,2.55
28-01-2017 01:21,2.45
28-01-2017 01:22,2.2
28-01-2017 01:23,2.26
28-01-2017 01:24,1.93
28-01-2017 01:25,1.77
28-01-2017 01:26,2.07
28-01-2017 01:27,1.88
28-01-2017 01:28,2.34
28-01-2017 01:29,2.44
28-01-2017 01:30,2.19
28-01-2017 01:31,2.04
28-01-2017 01:32,1.98
28-01-2017 01:33,2.07
28-01-2017 01:34,2.48
28-01-2017 01:35,2.45
28-01-2017 01:36,2.4
28-01-2017 01:37,2.41
28-01-2017 01:38,2.16
28-01-2017 01:39,1.93
28-01-2017 01:40,2.14
28-01-2017 01:41,1.96
